Hand 1 landmarks:
0.187614 0.650912 0.000001
0.225877 0.614755 -0.024160
0.296760 0.606530 -0.053892
0.352184 0.629034 -0.077079
0.368997 0.655485 -0.099585
0.266669 0.590966 -0.101333
0.322606 0.578398 -0.137248
0.361305 0.573043 -0.159449
0.392771 0.569948 -0.175091
0.259085 0.618541 -0.104964
0.329271 0.605414 -0.143516
0.374814 0.593159 -0.159341
0.406770 0.586592 -0.172486
0.256416 0.650555 -0.104305
0.352286 0.651951 -0.127043
0.353335 0.644790 -0.116866
0.333926 0.642659 -0.109614
0.259966 0.681448 -0.105780
0.335450 0.676366 -0.117490
0.328421 0.665684 -0.107347
0.305287 0.664174 -0.099832

